Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Notes,ID
Market buy,2020-11-17 8:04:25,IE00BF4RFH31,IUSN,iShares MSCI World Small Cap,25.27375,4.97,EUR,1,,125.56,,,,,EOF555350691
Market buy,2020-11-17 8:04:26,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,85,58.82,EUR,1,,4999.7,,,,,EOF555351052
Market buy,2020-11-17 8:04:26,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,9.993709,58.82,EUR,1,,587.83,,,,,EOF555351057
Deposit,2020-11-17 13:10:43,,,,,,,,,794,,,794,Transaction ID: 1659056186428491,3b86bb76-4086-48fe-82a4-f1bb0c4d754c
Deposit,2020-11-17 13:12:47,,,,,,,,,6,,,6,Transaction ID: 1836056187660320,4deef9f0-c3f2-4f5a-960b-f50e4d42d584
Market buy,2020-11-17 13:19:06,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,12.957312,58.47,EUR,1,,757.64,,,,,EOF556053716
Market buy,2020-11-17 13:19:08,IE00BKM4GZ66,IS3N,iShares Core MSCI EM IMI EUR,2.756449,27.79,EUR,1,,76.61,,,,,EOF556053763
Market buy,2020-11-17 13:19:09,IE00BF4RFH31,IUSN,iShares MSCI World Small Cap,3.46463,4.91,EUR,1,,17.02,,,,,EOF556053804
Deposit,2020-11-18 12:15:51,,,,,,,,,2000,,,2000,Transaction ID: 1646057017492108,7fbc765c-c73c-479b-b9c8-4e0a5da06188
Market buy,2020-11-18 12:17:25,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,27,58.84,EUR,1,,1588.73,,,,,EOF559386452
Market buy,2020-11-18 12:17:25,IE00BKM4GZ66,IS3N,iShares Core MSCI EM IMI EUR,6.402048,28.12,EUR,1,,180,,,,,EOF559386449
Market buy,2020-11-18 12:17:26,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,3.250739,58.84,EUR,1,,191.28,,,,,EOF559386458
Market buy,2020-11-18 12:17:38,IE00BF4RFH31,IUSN,iShares MSCI World Small Cap,8.0297,4.98,EUR,1,,40,,,,,EOF559386820
Deposit,2020-11-25 12:37:18,,,,,,,,,1,,,1,Bank Transfer,f527cb29-ab8f-4327-994f-654c4306323c
Deposit,2020-11-26 12:13:39,,,,,,,,,999,,,999,Bank Transfer,7f0805e5-f440-4dbc-aec7-3158399c331a
Market buy,2020-11-26 12:16:10,IE00BKM4GZ66,IS3N,iShares Core MSCI EM IMI EUR,3.163555,28.45,EUR,1,,90,,,,,EOF607826361
Market buy,2020-11-26 12:16:11,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,15.023632,59.24,EUR,1,,890,,,,,EOF607826367
Market buy,2020-11-26 12:16:35,IE00BF4RFH31,IUSN,iShares MSCI World Small Cap,3.96039,5.05,EUR,1,,20,,,,,EOF607826855
Dividend (Ordinary),2020-11-30 10:58:06,IE00B1XNHC34,INRG,iShares Global Clean Energy,16.782568,3.09,GBX,Not available,,0.58,0,GBX,,,
Deposit,2020-12-01 7:11:10,,,,,,,,,1000,,,1000,Transaction ID: 1759068066697599,479f5578-5b09-467e-be03-939e02cc32d3
Market buy,2020-12-01 8:04:04,IE00BF4RFH31,IUSN,iShares MSCI World Small Cap,3.97892,5.03,EUR,1,,20.01,,,,,EOF617570160
Market buy,2020-12-01 8:04:10,IE00B4L5Y983,EUNL,iShares Core MSCI World EUR,15.039519,59.21,EUR,1,,890.52,,,,,EOF617571930
Market buy,2020-12-01 8:04:10,IE00BKM4GZ66,IS3N,iShares Core MSCI EM IMI EUR,3.19882,28.15,EUR,1,,90.05,,,,,EOF617571628
Deposit,2020-12-02 13:16:48,,,,,,,,,20000,,,20000,Bank Transfer,f03e785d-f098-4942-bc95-1095824e5df1
Market buy,2020-12-02 16:21:55,IE00B1XNHC34,INRG,iShares Global Clean Energy,45.5405079,994.25,GBX,90.55731,,500,,,,,EOF624082055
Market buy,2020-12-02 16:21:55,IE00B4ND3602,SGLN,iShares Physical Gold,16.92027279,2676,GBX,90.55731,,500,,,,,EOF624082041
Market sell,2020-12-03 8:00:45,IE00B4ND3602,SGLN,iShares Physical Gold,16.92027279,2686,GBX,90.5059,2.15,502.15,,,,,EOF625378310
Market buy,2020-12-03 8:02:00,IE00B4ND3602,SGLN,iShares Physical Gold,33.65904014,2688,GBX,90.47546,,1000,,,,,EOF625387517
